 , dhks**** , 김부선씨가 맹활약해줘야 정권이 교체되는데. , 34 , 5 , Sun May 16 00:01:12 KST 2021 
 , sho_**** , 부선 이라는 말만 나오면 실망이 크지 재명아? , 30 , 1 , Sun May 16 00:01:12 KST 2021 
 , ppen**** , 민주당이 진보인줄 알았는데... 공산... 사회주의... 비리온상...다시는 안뽑는다! , 31 , 3 , Sun May 16 00:01:12 KST 2021 
 , list**** , 이재명은 반드시 김부선으로 인해 걸려넘어진다! , 31 , 5 , Sun May 16 00:01:12 KST 2021 
 , jamo**** , 김포의 교통수단은 지하철도 들어오고 2년전보단 개선이 조금되었지만 정말 최악이다~ 출근시간 올림픽대로혼잡 지하철안 터질듯한 객차안, 이미 김포인구가 어마어마한데 교통은 이에 훨씬 못미친다~ , 28 , 3 , Sun May 16 00:01:12 KST 2021 
 , cdae**** , 재명이 간 떨어지게 하필 노선 이름이 김부선이냐! , 25 , 0 , Sun May 16 00:01:12 KST 2021 
 , dan9**** , 김부선과 이재명은 뗄래야 뗄수없는 사이. , 26 , 2 , Sun May 16 00:01:12 KST 2021 
 , wodl**** , 이재명 김부선 스캔들 해명 못하면 대권은 힘들다고 봅니다. , 24 , 2 , Sun May 16 00:01:12 KST 2021 
 , rabb**** , 김부선은 예산만 낭비하는 계획이다...지금의 김포경전철 2량짜리 대책과 같은 수준이다..미래를 내다보면.. 당연히 김하선이 되야할것이다. , 20 , 4 , Sun May 16 00:01:12 KST 2021 
 , wkdg**** , 김부선으로 제명될듯 , 18 , 4 , Sun May 16 00:01:12 KST 2021 
 , igjh**** , 떼고싶어도 땔수없네, 이재명과 김부선은, 그러게 왜 지키지도 못할약속을 하고 쌀 한가마니도 퉁쳤냐 사기꾼 오른쪽엉덩이에 큰점있는이재명씨 , 15 , 1 , Sun May 16 00:01:13 KST 2021 
 , kjkj**** , 하필 김부선 ,,,부김선으로 하면 어색하긴하네 ㅋ , 14 , 1 , Sun May 16 00:01:13 KST 2021 
 , jllo**** , 불러낸 친구가 죽었는데 댓가는 치루는게 맞다고 생각합니다 죽이지 않았다고해서 잘못이 없는건 아니예요..친구가 정신없이 뻗었을 때 부모님께 연락하거나 최소한 사람으로서 양심이 있으면 친구 찾는데 적극적으로 움직였어야했는데 그러질 않았다는게 가장 큰 문제이고 국민들이 화가나는 부분입니다 , 17968 , 1763 , Sun May 16 00:02:20 KST 2021 
 , sogo**** , 폐인처럼 살지말고 떳떳하게 그날의 일을밝혀라 그래도 살아 있으니ᆢ , 8400 , 232 , Sun May 16 00:02:20 KST 2021 
 , mcru**** , 정민이가 사라지고나서의 저 가족들의 행동들이 일반적이지도않고 이상하지않냐 ㅋㅋ납득이 되야지 납득이 상식적으로 살자 , 6349 , 149 , Sun May 16 00:02:20 KST 2021 
 , zizi**** , 어딜가려고?댓가치러야지 , 3492 , 242 , Sun May 16 00:02:20 KST 2021 
 , eogk**** , 친구 그렇게 만들고 잘사는게 가능할거라 생각했나 , 3010 , 211 , Sun May 16 00:02:20 KST 2021 
 , fora**** , 당일 날 있었던 일은 경황이 없어서 그랬다고 백번 양보해도, 최면 조사 받는데 변호사 대동하고 나타나니 의심을 안 할 수가 있나. 폰도 바뀌었다지, 신발도 버렸다지, 블박이랑 CCTV 제출도 거부해.. 누가 들어도 이상하잖아? 처음부터 수사에 적극 협조하고 다 오픈했으면 이렇게까지 전국적인 사달은 안 났다. 자식 잃은 남보다 지 새끼부터 챙긴 그네 부모가 만든 자업자득. , 1915 , 23 , Sun May 16 00:02:20 KST 2021 
 , park**** , 정민아버님이 그랬죠,지금 살아있는데 입꼭다물고 힘든것과 고인이된 정민이와 유가족이 힘든건 비교가 안된다고. 합리적인 의심은 지금상황에 자연스러운거고 떳떳하면 그밤에 정민이를 불러낸 도의적인 책임감으로라도 최선을다해 수사에 협조하면 됩니다. 주제에 벗어난 글. , 1715 , 33 , Sun May 16 00:02:20 KST 2021 
 , mich**** , 이준서씨, 준서씨 어머니가 손정민군 어머니께 전화했을 때, "정민이가 없어졌어요." 가 아니라 "정민이 집에 있어요?" 라고 해야하는게 맞지 않나요? 준서씨네 가족 일동은 속히 이 부분을 해명해주세요. 기억 안 난다고 그냥 넘어갈 문제가 아니예요. , 1530 , 34 , Sun May 16 00:02:20 KST 2021 
 , bont**** , 내가 불러낸 친구가 술 먹다 사라져서 시신으로 발견되었다. 그럼 친구 부모님을 찾아 뵙고 제가 죽일 놈입니다. 왜 밤 늦게 불러내서 이런 일이 생겼을까요? 라며 엉엉 울지 않나? , 1430 , 15 , Sun May 16 00:02:21 KST 2021 
 , quee**** , 이준서를 두둔하는글쓴사람보시오..당신이이준서랑무슨관계인지는모르나..만약 당신동생이 이준서가밤에불러내서 술을마시러나갔어근데 새벽5시넘어서 당신동생이사라졌다는전화를받고찾으러나갔는데 이준서라는 놈이 같이찾기는커녕그날이후 연락도피하고수사협조도안하고,변호사대동해서움직이고,증거제출도거부하고 다기억이안난다고구라만쳐대고,폰도분실,신발도버리고모르쇠로일관한다면..그래도당신은저런글을써서올릴래?현직변호사,프로파일러,무속인,전국민모두가이준서가범인이라하는데는괜한억지가아니라이미영상에도범인임이드러나는증거가있음에도 묵살되기때문에 국민들이 난리치는거다.. , 1277 , 30 , Sun May 16 00:02:21 KST 2021 
 , duck**** , 그래 다른건 다 백번양보해서 휴대폰 술취해서 바꿔올수있고 신발 구토물 묻어서 찝찝해 버릴수 있고 자다깨서 정민군없는거 알고 니도 취했으니 정신없어 그냥 집으로 올수있고 신발젖은 cctv 보는 관점이나 화질에 따라 잘못봤을수도 있고 변호사선임 먼가 사건같은 낌새사 있으니 미리 대비해서 선임할수 있다치다 이해하기 힘들긴하지만 사람마다 집안마다 다 틀리니 그렇다치자 근데 집에가서 정민군 찾으러 나오기전에 집에 들어왔나 확인이나 전화 문자 카톡 단한번도 없이 스스로 실종이라 판단하고 나온건 분명 반드시 해명이 필요함 , 1217 , 21 , Sun May 16 00:02:21 KST 2021 
 , bjdh**** , 와 진짜 댓글 잘 안다는데 열불나네!! 자기가 갑자기 불러내서 술먹여서 친구가 죽었는데 어찌됐든 혐의없어도 친구다 죽었잖아 근데 그게 할소리냐 당연히 폐인처럼 지내는게 맞지!! 그럼 협조적으로 친구의 미스테리한 죽음을 밝혀주려고ㅠ노력이라도 하든지 최소한의 예의도 안지켜놓고 머라는거냐 , 1146 , 21 , Sun May 16 00:02:21 KST 2021 
 , lccf**** , 상식이 뭔지 모르나? 자신과 있던 사람이 실종이 되었으면 적극적으로 협조해야 상식아니냐? 의심받을 짓 해놓고 의심하지 말라니? 적빈하장도 유분수지. 적극적으로 협조해서 무죄를 밝히던가 해야지. 온가족이 행동을 으상하게 해놓고는 의심하는 사람들을 오히려 범죄자로 보다니 상식이 있나? 손정민씨가 실족해서 시밍했을 가능성도 물론 있지. 그러니까 적극적으로 해명하고 찾는 것에 협조하라고! 이민? 이놈이 점점 다 수상한 이야기만하네! , 1043 , 17 , Sun May 16 00:02:21 KST 2021 
 , amy6**** , 사람이 죽었는데 폐인되고 이민 고려하는게 그렇게 대단한 일인가? 그렇게 억울하면 죽은 친구를 위해서라도 본인을 위해서라도 발벗고 나서서 협조했어야지 무슨 이제와서... 글쓴이는 그친구 폐인된건 안타깝고 다른친구 죽은건 안타깝지 않은갑죠? , 1004 , 11 , Sun May 16 00:02:21 KST 2021 
 , lyeu**** , 출국금지 요청해야겠네. , 953 , 20 , Sun May 16 00:02:21 KST 2021 
 , jung**** , 어떤 억울함도 찬란한 인생을 살아보지도 못하고 인생을 마감한 한 젊은이보다 더하지는 않을것이고, 어떤 고통도 인생을 바쳐 키워낸 하나뿐인 자식을 먼저 떠나보낸 부모의 장이 마디마디 끊어지는 고통보다 더하지는 않을것이다. , 807 , 9 , Sun May 16 00:02:21 KST 2021 
 , send**** , 의사 변호사 경찰서장 3명이 모이니 완전범죄 가능 캬하~~ 더러운 세상 , 704 , 40 , Sun May 16 00:02:21 KST 2021 
 , swot**** , 사건터지자 마자 A씨를 범인이라고 의심한 것도 아니고, 정민군 시신발견되지도 않았던 시점에, 초기 최면조사한다고 말했을때 변호사 대동하고 나왔다는건,사건 터지자마자 부랴부랴 변호사부터 선임했다고 봐야한다. 뭔가 잘못이 있으니 자기방어부터 들어간거 같다 , 642 , 8 , Sun May 16 00:02:21 KST 2021 
 , hjh5**** , 한가정을 저렇게 만들어 놓고 이민? 폐인처럼 지낸다고? 야 이 C 그게 지금 할소리야? 정민이 살려내라! 양심도 없는것들! , 620 , 15 , Sun May 16 00:02:22 KST 2021 
 , anat**** , 정인이 양부 양모도 이민 얘기했다지. 자기가 혐의없다면 적극적으로 조사 받고 알리바이를 증명할 거다. 핸드폰이고 신발이고 블랙박스고 다 제출하고. 당당히 정민이 아버지 만나서 위로하고 장례 끝까지 참석할텐데. , 572 , 6 , Sun May 16 00:02:22 KST 2021 
 , jllo**** , 불러낸 친구가 죽었는데 댓가는 치루는게 맞다고 생각합니다 죽이지 않았다고해서 잘못이 없는건 아니예요..친구가 정신없이 뻗었을 때 부모님께 연락하거나 최소한 사람으로서 양심이 있으면 친구 찾는데 적극적으로 움직였어야했는데 그러질 않았다는게 가장 큰 문제이고 국민들이 화가나는 부분입니다 , 17985 , 1764 , Sun May 16 00:02:53 KST 2021 
 , sogo**** , 폐인처럼 살지말고 떳떳하게 그날의 일을밝혀라 그래도 살아 있으니ᆢ , 8409 , 232 , Sun May 16 00:02:53 KST 2021 
 , mcru**** , 정민이가 사라지고나서의 저 가족들의 행동들이 일반적이지도않고 이상하지않냐 ㅋㅋ납득이 되야지 납득이 상식적으로 살자 , 6355 , 149 , Sun May 16 00:02:53 KST 2021 
 , zizi**** , 어딜가려고?댓가치러야지 , 3495 , 242 , Sun May 16 00:02:53 KST 2021 
 , eogk**** , 친구 그렇게 만들고 잘사는게 가능할거라 생각했나 , 3012 , 211 , Sun May 16 00:02:53 KST 2021 
 , fora**** , 당일 날 있었던 일은 경황이 없어서 그랬다고 백번 양보해도, 최면 조사 받는데 변호사 대동하고 나타나니 의심을 안 할 수가 있나. 폰도 바뀌었다지, 신발도 버렸다지, 블박이랑 CCTV 제출도 거부해.. 누가 들어도 이상하잖아? 처음부터 수사에 적극 협조하고 다 오픈했으면 이렇게까지 전국적인 사달은 안 났다. 자식 잃은 남보다 지 새끼부터 챙긴 그네 부모가 만든 자업자득. , 1916 , 23 , Sun May 16 00:02:54 KST 2021 
 , park**** , 정민아버님이 그랬죠,지금 살아있는데 입꼭다물고 힘든것과 고인이된 정민이와 유가족이 힘든건 비교가 안된다고. 합리적인 의심은 지금상황에 자연스러운거고 떳떳하면 그밤에 정민이를 불러낸 도의적인 책임감으로라도 최선을다해 수사에 협조하면 됩니다. 주제에 벗어난 글. , 1716 , 33 , Sun May 16 00:02:54 KST 2021 
 , mich**** , 이준서씨, 준서씨 어머니가 손정민군 어머니께 전화했을 때, "정민이가 없어졌어요." 가 아니라 "정민이 집에 있어요?" 라고 해야하는게 맞지 않나요? 준서씨네 가족 일동은 속히 이 부분을 해명해주세요. 기억 안 난다고 그냥 넘어갈 문제가 아니예요. , 1532 , 34 , Sun May 16 00:02:54 KST 2021 
 , bont**** , 내가 불러낸 친구가 술 먹다 사라져서 시신으로 발견되었다. 그럼 친구 부모님을 찾아 뵙고 제가 죽일 놈입니다. 왜 밤 늦게 불러내서 이런 일이 생겼을까요? 라며 엉엉 울지 않나? , 1431 , 15 , Sun May 16 00:02:54 KST 2021 
 , quee**** , 이준서를 두둔하는글쓴사람보시오..당신이이준서랑무슨관계인지는모르나..만약 당신동생이 이준서가밤에불러내서 술을마시러나갔어근데 새벽5시넘어서 당신동생이사라졌다는전화를받고찾으러나갔는데 이준서라는 놈이 같이찾기는커녕그날이후 연락도피하고수사협조도안하고,변호사대동해서움직이고,증거제출도거부하고 다기억이안난다고구라만쳐대고,폰도분실,신발도버리고모르쇠로일관한다면..그래도당신은저런글을써서올릴래?현직변호사,프로파일러,무속인,전국민모두가이준서가범인이라하는데는괜한억지가아니라이미영상에도범인임이드러나는증거가있음에도 묵살되기때문에 국민들이 난리치는거다.. , 1279 , 30 , Sun May 16 00:02:54 KST 2021 
 , duck**** , 그래 다른건 다 백번양보해서 휴대폰 술취해서 바꿔올수있고 신발 구토물 묻어서 찝찝해 버릴수 있고 자다깨서 정민군없는거 알고 니도 취했으니 정신없어 그냥 집으로 올수있고 신발젖은 cctv 보는 관점이나 화질에 따라 잘못봤을수도 있고 변호사선임 먼가 사건같은 낌새사 있으니 미리 대비해서 선임할수 있다치다 이해하기 힘들긴하지만 사람마다 집안마다 다 틀리니 그렇다치자 근데 집에가서 정민군 찾으러 나오기전에 집에 들어왔나 확인이나 전화 문자 카톡 단한번도 없이 스스로 실종이라 판단하고 나온건 분명 반드시 해명이 필요함 , 1218 , 21 , Sun May 16 00:02:54 KST 2021 
 , bjdh**** , 와 진짜 댓글 잘 안다는데 열불나네!! 자기가 갑자기 불러내서 술먹여서 친구가 죽었는데 어찌됐든 혐의없어도 친구다 죽었잖아 근데 그게 할소리냐 당연히 폐인처럼 지내는게 맞지!! 그럼 협조적으로 친구의 미스테리한 죽음을 밝혀주려고ㅠ노력이라도 하든지 최소한의 예의도 안지켜놓고 머라는거냐 , 1148 , 21 , Sun May 16 00:02:54 KST 2021 
 , lccf**** , 상식이 뭔지 모르나? 자신과 있던 사람이 실종이 되었으면 적극적으로 협조해야 상식아니냐? 의심받을 짓 해놓고 의심하지 말라니? 적빈하장도 유분수지. 적극적으로 협조해서 무죄를 밝히던가 해야지. 온가족이 행동을 으상하게 해놓고는 의심하는 사람들을 오히려 범죄자로 보다니 상식이 있나? 손정민씨가 실족해서 시밍했을 가능성도 물론 있지. 그러니까 적극적으로 해명하고 찾는 것에 협조하라고! 이민? 이놈이 점점 다 수상한 이야기만하네! , 1046 , 17 , Sun May 16 00:02:54 KST 2021 
 , amy6**** , 사람이 죽었는데 폐인되고 이민 고려하는게 그렇게 대단한 일인가? 그렇게 억울하면 죽은 친구를 위해서라도 본인을 위해서라도 발벗고 나서서 협조했어야지 무슨 이제와서... 글쓴이는 그친구 폐인된건 안타깝고 다른친구 죽은건 안타깝지 않은갑죠? , 1005 , 11 , Sun May 16 00:02:54 KST 2021 
 , lyeu**** , 출국금지 요청해야겠네. , 953 , 20 , Sun May 16 00:02:54 KST 2021 
 , jung**** , 어떤 억울함도 찬란한 인생을 살아보지도 못하고 인생을 마감한 한 젊은이보다 더하지는 않을것이고, 어떤 고통도 인생을 바쳐 키워낸 하나뿐인 자식을 먼저 떠나보낸 부모의 장이 마디마디 끊어지는 고통보다 더하지는 않을것이다. , 807 , 9 , Sun May 16 00:02:54 KST 2021 
 , send**** , 의사 변호사 경찰서장 3명이 모이니 완전범죄 가능 캬하~~ 더러운 세상 , 704 , 40 , Sun May 16 00:02:54 KST 2021 
 , swot**** , 사건터지자 마자 A씨를 범인이라고 의심한 것도 아니고, 정민군 시신발견되지도 않았던 시점에, 초기 최면조사한다고 말했을때 변호사 대동하고 나왔다는건,사건 터지자마자 부랴부랴 변호사부터 선임했다고 봐야한다. 뭔가 잘못이 있으니 자기방어부터 들어간거 같다 , 643 , 8 , Sun May 16 00:02:54 KST 2021 
 , hjh5**** , 한가정을 저렇게 만들어 놓고 이민? 폐인처럼 지낸다고? 야 이 C 그게 지금 할소리야? 정민이 살려내라! 양심도 없는것들! , 620 , 15 , Sun May 16 00:02:54 KST 2021 
 , anat**** , 정인이 양부 양모도 이민 얘기했다지. 자기가 혐의없다면 적극적으로 조사 받고 알리바이를 증명할 거다. 핸드폰이고 신발이고 블랙박스고 다 제출하고. 당당히 정민이 아버지 만나서 위로하고 장례 끝까지 참석할텐데. , 572 , 6 , Sun May 16 00:02:54 KST 2021 
 , jllo**** , 불러낸 친구가 죽었는데 댓가는 치루는게 맞다고 생각합니다 죽이지 않았다고해서 잘못이 없는건 아니예요..친구가 정신없이 뻗었을 때 부모님께 연락하거나 최소한 사람으로서 양심이 있으면 친구 찾는데 적극적으로 움직였어야했는데 그러질 않았다는게 가장 큰 문제이고 국민들이 화가나는 부분입니다 , 17993 , 1764 , Sun May 16 00:03:15 KST 2021 
 , sogo**** , 폐인처럼 살지말고 떳떳하게 그날의 일을밝혀라 그래도 살아 있으니ᆢ , 8415 , 232 , Sun May 16 00:03:15 KST 2021 
 , mcru**** , 정민이가 사라지고나서의 저 가족들의 행동들이 일반적이지도않고 이상하지않냐 ㅋㅋ납득이 되야지 납득이 상식적으로 살자 , 6356 , 149 , Sun May 16 00:03:15 KST 2021 
 , zizi**** , 어딜가려고?댓가치러야지 , 3497 , 242 , Sun May 16 00:03:15 KST 2021 
 , eogk**** , 친구 그렇게 만들고 잘사는게 가능할거라 생각했나 , 3014 , 213 , Sun May 16 00:03:15 KST 2021 
 , fora**** , 당일 날 있었던 일은 경황이 없어서 그랬다고 백번 양보해도, 최면 조사 받는데 변호사 대동하고 나타나니 의심을 안 할 수가 있나. 폰도 바뀌었다지, 신발도 버렸다지, 블박이랑 CCTV 제출도 거부해.. 누가 들어도 이상하잖아? 처음부터 수사에 적극 협조하고 다 오픈했으면 이렇게까지 전국적인 사달은 안 났다. 자식 잃은 남보다 지 새끼부터 챙긴 그네 부모가 만든 자업자득. , 1916 , 23 , Sun May 16 00:03:15 KST 2021 
 , park**** , 정민아버님이 그랬죠,지금 살아있는데 입꼭다물고 힘든것과 고인이된 정민이와 유가족이 힘든건 비교가 안된다고. 합리적인 의심은 지금상황에 자연스러운거고 떳떳하면 그밤에 정민이를 불러낸 도의적인 책임감으로라도 최선을다해 수사에 협조하면 됩니다. 주제에 벗어난 글. , 1716 , 33 , Sun May 16 00:03:15 KST 2021 
 , mich**** , 이준서씨, 준서씨 어머니가 손정민군 어머니께 전화했을 때, "정민이가 없어졌어요." 가 아니라 "정민이 집에 있어요?" 라고 해야하는게 맞지 않나요? 준서씨네 가족 일동은 속히 이 부분을 해명해주세요. 기억 안 난다고 그냥 넘어갈 문제가 아니예요. , 1532 , 34 , Sun May 16 00:03:15 KST 2021 
 , bont**** , 내가 불러낸 친구가 술 먹다 사라져서 시신으로 발견되었다. 그럼 친구 부모님을 찾아 뵙고 제가 죽일 놈입니다. 왜 밤 늦게 불러내서 이런 일이 생겼을까요? 라며 엉엉 울지 않나? , 1431 , 15 , Sun May 16 00:03:15 KST 2021 
 , quee**** , 이준서를 두둔하는글쓴사람보시오..당신이이준서랑무슨관계인지는모르나..만약 당신동생이 이준서가밤에불러내서 술을마시러나갔어근데 새벽5시넘어서 당신동생이사라졌다는전화를받고찾으러나갔는데 이준서라는 놈이 같이찾기는커녕그날이후 연락도피하고수사협조도안하고,변호사대동해서움직이고,증거제출도거부하고 다기억이안난다고구라만쳐대고,폰도분실,신발도버리고모르쇠로일관한다면..그래도당신은저런글을써서올릴래?현직변호사,프로파일러,무속인,전국민모두가이준서가범인이라하는데는괜한억지가아니라이미영상에도범인임이드러나는증거가있음에도 묵살되기때문에 국민들이 난리치는거다.. , 1281 , 30 , Sun May 16 00:03:15 KST 2021 
 , duck**** , 그래 다른건 다 백번양보해서 휴대폰 술취해서 바꿔올수있고 신발 구토물 묻어서 찝찝해 버릴수 있고 자다깨서 정민군없는거 알고 니도 취했으니 정신없어 그냥 집으로 올수있고 신발젖은 cctv 보는 관점이나 화질에 따라 잘못봤을수도 있고 변호사선임 먼가 사건같은 낌새사 있으니 미리 대비해서 선임할수 있다치다 이해하기 힘들긴하지만 사람마다 집안마다 다 틀리니 그렇다치자 근데 집에가서 정민군 찾으러 나오기전에 집에 들어왔나 확인이나 전화 문자 카톡 단한번도 없이 스스로 실종이라 판단하고 나온건 분명 반드시 해명이 필요함 , 1219 , 21 , Sun May 16 00:03:15 KST 2021 
 , bjdh**** , 와 진짜 댓글 잘 안다는데 열불나네!! 자기가 갑자기 불러내서 술먹여서 친구가 죽었는데 어찌됐든 혐의없어도 친구다 죽었잖아 근데 그게 할소리냐 당연히 폐인처럼 지내는게 맞지!! 그럼 협조적으로 친구의 미스테리한 죽음을 밝혀주려고ㅠ노력이라도 하든지 최소한의 예의도 안지켜놓고 머라는거냐 , 1149 , 21 , Sun May 16 00:03:15 KST 2021 
 , lccf**** , 상식이 뭔지 모르나? 자신과 있던 사람이 실종이 되었으면 적극적으로 협조해야 상식아니냐? 의심받을 짓 해놓고 의심하지 말라니? 적빈하장도 유분수지. 적극적으로 협조해서 무죄를 밝히던가 해야지. 온가족이 행동을 으상하게 해놓고는 의심하는 사람들을 오히려 범죄자로 보다니 상식이 있나? 손정민씨가 실족해서 시밍했을 가능성도 물론 있지. 그러니까 적극적으로 해명하고 찾는 것에 협조하라고! 이민? 이놈이 점점 다 수상한 이야기만하네! , 1046 , 17 , Sun May 16 00:03:15 KST 2021 
 , amy6**** , 사람이 죽었는데 폐인되고 이민 고려하는게 그렇게 대단한 일인가? 그렇게 억울하면 죽은 친구를 위해서라도 본인을 위해서라도 발벗고 나서서 협조했어야지 무슨 이제와서... 글쓴이는 그친구 폐인된건 안타깝고 다른친구 죽은건 안타깝지 않은갑죠? , 1006 , 11 , Sun May 16 00:03:15 KST 2021 
 , lyeu**** , 출국금지 요청해야겠네. , 954 , 20 , Sun May 16 00:03:15 KST 2021 
 , jung**** , 어떤 억울함도 찬란한 인생을 살아보지도 못하고 인생을 마감한 한 젊은이보다 더하지는 않을것이고, 어떤 고통도 인생을 바쳐 키워낸 하나뿐인 자식을 먼저 떠나보낸 부모의 장이 마디마디 끊어지는 고통보다 더하지는 않을것이다. , 808 , 9 , Sun May 16 00:03:15 KST 2021 
 , send**** , 의사 변호사 경찰서장 3명이 모이니 완전범죄 가능 캬하~~ 더러운 세상 , 704 , 40 , Sun May 16 00:03:16 KST 2021 
 , swot**** , 사건터지자 마자 A씨를 범인이라고 의심한 것도 아니고, 정민군 시신발견되지도 않았던 시점에, 초기 최면조사한다고 말했을때 변호사 대동하고 나왔다는건,사건 터지자마자 부랴부랴 변호사부터 선임했다고 봐야한다. 뭔가 잘못이 있으니 자기방어부터 들어간거 같다 , 643 , 8 , Sun May 16 00:03:16 KST 2021 
 , hjh5**** , 한가정을 저렇게 만들어 놓고 이민? 폐인처럼 지낸다고? 야 이 C 그게 지금 할소리야? 정민이 살려내라! 양심도 없는것들! , 620 , 15 , Sun May 16 00:03:16 KST 2021 
 , anat**** , 정인이 양부 양모도 이민 얘기했다지. 자기가 혐의없다면 적극적으로 조사 받고 알리바이를 증명할 거다. 핸드폰이고 신발이고 블랙박스고 다 제출하고. 당당히 정민이 아버지 만나서 위로하고 장례 끝까지 참석할텐데. , 573 , 6 , Sun May 16 00:03:16 KST 2021 
 , jcsa**** , MBC 맛갔죠. 노조가 득세한 조직은 모두 맛갑니다. 지금 쓰레기 정부 처럼 지네편 남에편 나눠서 회사를 말아먹죠. , 2523 , 270 , Sun May 16 00:04:15 KST 2021 
 , yong**** , kbs나 mbc에 다니는 친구들과 얘기하다보면 한 가지 공통점이 있더군요.공영방송의 독립성과 중립성을 확보하려면 선한 정권이 유지되어야 한다는 겁니다.선한 정권과 악한 정권의 구분 기준은 차치하더라도 정권이 자신의 보모가 된다는 미성숙한 전제를 깔고 있지요.우리가 선도국가라고 부르는 나라의 공영방송들이 선한 권력에만 의존해서 지금의 신뢰성을 확보한 것일까요.어떤 정권이 들어서든 영항받지 않도록 치밀한 계획과 치열한 노력을 통해 스스로 독립성과 중립성을 쟁취한 것입니다.이렇게 얻어진 신뢰성은 잘 깨지지 않지요. , 824 , 33 , Sun May 16 00:04:15 KST 2021 
 , esel**** , 울보 감성팔이 문민정이랑은 너무나도 레벨이 높은 우리 초선의원님들 ~ 한분한분이 180마리 합친 내로남불보다 월등히 앞서지 , 777 , 214 , Sun May 16 00:04:15 KST 2021 
 , skym**** , 이미 맛간지오래됨ㅋㅋ 문정부 나팔수입니다 , 589 , 86 , Sun May 16 00:04:16 KST 2021 
 , swle**** , 박성제 이 자슥 마누라가 지금 청와대 행정관이지~ 민노총 좌좀이 마누라 영향력과 문재인이 뒷배로 개비씨 사장 자리에 앉아 방송국을 해 처먹고 있는중.. 이전 사장 촤승호와 바턴 터치해서 개비씨를 완전 해체쇼 하는중.. , 219 , 12 , Sun May 16 00:04:16 KST 2021 
 , choj**** , 인상이 저리 바꼇네 , 91 , 5 , Sun May 16 00:04:16 KST 2021 
 , gkra**** , 배열사 ㅎㅎ응원합니다 , 372 , 288 , Sun May 16 00:04:16 KST 2021 
 , ggal**** , 솔직히 광화문 집회는 일부 전광훈 패거리 빼면 순수 국민들 이었고, 서초동 집회가 더 종교적이었는데?? 대깨들과 전라도에서 관광버스로 사람들 데려와놓구선 순수 국민이이란다ㅋㅋㅋ 그때 서초동에 홍어찌린내가 진동했었다. , 97 , 21 , Sun May 16 00:04:16 KST 2021 
 , kchs**** , 맛이 간놈이나 언론인 처럼 행세하며 정권 나팔수 노릇이나 하지 MBC 곳곳에 대깨문들 심어놓고 언론이길 포기한 놈들 , 63 , 6 , Sun May 16 00:04:16 KST 2021 
 , spro**** , ㅋㅋㅋㅋㅋㅋㅋ 웃고간다... 니가? ㅋㅋㅋㅋ , 80 , 38 , Sun May 16 00:04:16 KST 2021 
 , lwk7**** , MBC 가 제일 잘한거...배아나운서 퇴사시킨일 ㅋㅋㅋ 그건 인정한다. , 60 , 26 , Sun May 16 00:04:16 KST 2021 
 , hear**** , 맛이 가다 못해 썩어 문드러진 MBC.. 정권에 충성하는 KBS ..언론이 언론이 아닌게.. , 29 , 3 , Sun May 16 00:04:16 KST 2021 
 , khyk**** , 어머어머 너가 그말하니까 왜케 웃기지~ , 109 , 86 , Sun May 16 00:04:16 KST 2021 
 , kebi**** , 어휴..저 밥맛.. , 33 , 13 , Sun May 16 00:04:16 KST 2021 
 , bang**** , 저 mbc돼지는 사과할려면 똑바로 하던지ᆢ변명이 거의다네진짜 정권바뀌면 북으로 갈 사람 많네ᆢ , 23 , 3 , Sun May 16 00:04:16 KST 2021 
 , rufj**** , MBC 무능한 문재인정부의 하수인! 언론이 한편에서서 언론정치! , 20 , 3 , Sun May 16 00:04:16 KST 2021 
 , akcg**** , Mbs kbs jtbc 뉴슈 시사토론 안본지 4년되었다..그네정부때 그래도 jtbc 마이 봤었는데... , 18 , 2 , Sun May 16 00:04:16 KST 2021 
 , gmdt**** , 저런게 무슨 국회의원인지 , 37 , 25 , Sun May 16 00:04:16 KST 2021 
 , isha**** , 지가 있을때부터 맛이 간거 아니였나? , 22 , 10 , Sun May 16 00:04:16 KST 2021 
 , htk5**** , mbc뉴스끊었다.배현진이후로 편파방송 끝판이더군.김어준급의 피디수첩과 스트레이트도. , 14 , 2 , Sun May 16 00:04:16 KST 2021 
 , klee**** , 문정복, 이름에는 복자가 있는데 그동안 복도 지지리도 없고, 복이 뚝뚝 떨어지는 얘기만 해왔구나, 무식하면 그럴 수 있다, 또 양심이 없어도 그럴 수 있다, 그리고 문재인을 따르고 추종했기 때문에 그럴 수 있다, 친문과 대깨문들이 다 이런 부류의 쓸모없는 찌꺼기 같은 존재들이니까 ㅉㅉ , 565 , 10 , Sun May 16 00:05:07 KST 2021 
 , ahj6**** , 이것이 무능한 더불어 만진당의 본질적인 문제 입니다 ~ , 260 , 8 , Sun May 16 00:05:07 KST 2021 
 , thot**** , 근데 문정복은 남자인가요 여자인가요? 정말 궁금해서 댓글 남깁니다 ^^ , 238 , 2 , Sun May 16 00:05:08 KST 2021 
 , ikyu**** , '웃는 얼굴에 침 못뱉는다'는 말이 있는데, 그런데 저 위의 2인 얼굴에 침뱉고 싶다.... , 157 , 6 , Sun May 16 00:05:08 KST 2021 
